Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,U.S. BANCORP,1119794,,MINNEAPOLIS MN,Financial Holding Company - Domestic,1,"Minneapolis, MN, USA",44.977753,-93.2650108
2,,U.S. BANK NATIONAL ASSOCIATION,504713,1,CINCINNATI OH,National Bank,2,"Cincinnati, OH, USA",39.1031182,-84.5120196
3,,"U.S. BANCORP INSURANCE COMPANY, INC.",1120594,2,MINNEAPOLIS MN,Domestic Entity Other,3,"Minneapolis, MN, USA",44.977753,-93.2650108
4,,FIRST BANK LACROSSE BUILDING CORP.,1120615,2,LA CROSSE WI,Domestic Entity Other,3,"La Crosse, WI, USA",43.8013556,-91.2395807
5,,FIRST LACROSSE PROPERTIES,1120606,4,LA CROSSE WI,Domestic Entity Other,4,"La Crosse, WI, USA",43.8013556,-91.2395807
6,,VT INC.,2180568,2,CHICAGO IL,Domestic Entity Other,3,"Chicago, IL, USA",41.8781136,-87.6297982
7,,"ELAVON, INC.",2274391,2,ATLANTA GA,Domestic Entity Other,3,"Atlanta, GA, USA",33.7489954,-84.3879824
8,,"KEY MERCHANT SERVICES, LLC",2663959,7,ATLANTA GA,Domestic Entity Other,4,"Atlanta, GA, USA",33.7489954,-84.3879824
9,,"TMTT, INC.",2521107,2,CHICAGO IL,Domestic Entity Other,3,"Chicago, IL, USA",41.8781136,-87.6297982
10,,"GTLT, INC.",2600703,2,SAINT PAUL MN,Domestic Entity Other,3,"St Paul, MN, USA",44.9537029,-93.0899578
11,,MERCANTILE MORTGAGE FINANCIAL COMPANY,2618454,2,LAS VEGAS NV,Domestic Entity Other,3,"Las Vegas, NV, USA",36.1699412,-115.1398296
12,,FIRSTAR REALTY L.L.C.,2618445,11,LAS VEGAS NV,Domestic Entity Other,4,"Las Vegas, NV, USA",36.1699412,-115.1398296
13,,"U.S. BANCORP GOVERNMENT LEASING AND FINANCE, INC.",4364821,11,MINNEAPOLIS MN,Finance Company,4,"Minneapolis, MN, USA",44.977753,-93.2650108
14,,"U.S. BANCORP MUNICIPAL LENDING AND FINANCE, INC.",4467414,11,MINNEAPOLIS MN,Domestic Entity Other,4,"Minneapolis, MN, USA",44.977753,-93.2650108
15,,"HVT,INC.",2630380,2,CHICAGO IL,Domestic Entity Other,3,"Chicago, IL, USA",41.8781136,-87.6297982
16,,"RTRT, INC.",2630399,2,CHICAGO IL,Domestic Entity Other,3,"Chicago, IL, USA",41.8781136,-87.6297982
17,,U.S. BANK TRUST NATIONAL ASSOCIATION SD,2667920,2,SIOUX FALLS SD,Non-deposit Trust Company - Member,3,"Sioux Falls, SD, USA",43.5445959,-96.7311034
18,,"NILT, INC.",2725316,2,CHICAGO IL,Domestic Entity Other,3,"Chicago, IL, USA",41.8781136,-87.6297982
19,,U.S. BANCORP COMMUNITY DEVELOPMENT CORPORATION,2731728,2,MINNEAPOLIS MN,Domestic Entity Other,3,"Minneapolis, MN, USA",44.977753,-93.2650108
20,,"U.S. BANCORP MISSOURI LOW-INCOME HOUSING TAX CREDIT FUND, L.L.C.",3188664,19,SAINT LOUIS MO,Domestic Entity Other,4,"St. Louis, MO, USA",38.6270025,-90.1994042
21,,"USBCDE, LLC",3606944,19,SAINT LOUIS MO,Domestic Entity Other,4,"St. Louis, MO, USA",38.6270025,-90.1994042
22,,"PULLMAN PARK INVESTMENT FUND I, LLC",4319429,19,SAINT LOUIS MO,Domestic Entity Other,4,"St. Louis, MO, USA",38.6270025,-90.1994042
23,,"RBC COMMUNITY DEVELOPMENT, SUB 3, LLC",4167385,22,CLEVELAND OH,Domestic Entity Other,5,"Cleveland, OH, USA",41.49932,-81.6943605
24,,"MBS-UI SUB-CDE XVI, LLC",4319483,22,SAINT LOUIS MO,Domestic Entity Other,5,"St. Louis, MO, USA",38.6270025,-90.1994042
25,,"NUMAME, LLC",4362292,19,SAINT LOUIS MO,Domestic Entity Other,4,"St. Louis, MO, USA",38.6270025,-90.1994042
26,,"U.S. BANCORP FUND SERVICES, LLC",2748687,2,MILWAUKEE WI,Domestic Entity Other,3,"Milwaukee, WI, USA",43.0389025,-87.9064736
27,,"REDWOOD CAPITAL FINANCE COMPANY, LLC",2817341,2,SAN FRANCISCO CA,Finance Company,3,"San Francisco, CA, USA",37.7749295,-122.4194155
28,,U.S. BANK TRUST NATIONAL ASSOCIATION,2916963,2,WILMINGTON DE,Non-deposit Trust Company - Member,3,"Wilmington, DE, USA",39.7390721,-75.5397878
29,,"111 TOWER INVESTORS, INC.",2930969,2,MINNEAPOLIS MN,Domestic Entity Other,3,"Minneapolis, MN, USA",44.977753,-93.2650108
30,,ONE ELEVEN INVESTORS LLC,2930978,29,MINNEAPOLIS MN,Domestic Entity Other,4,"Minneapolis, MN, USA",44.977753,-93.2650108
31,,"U.S. BANCORP ASSET MANAGEMENT, INC.",3030503,2,MINNEAPOLIS MN,Domestic Entity Other,3,"Minneapolis, MN, USA",44.977753,-93.2650108
32,,USB EUROPEAN HOLDINGS COMPANY,3050369,2,MINNEAPOLIS MN,Agreement Corporation - Investment,3,"Minneapolis, MN, USA",44.977753,-93.2650108
33,,ELAVON EUROPEAN HOLDINGS C.V.,3287259,32,WILMINGTON DE,Domestic Entity Other,4,"Wilmington, DE, USA",39.7390721,-75.5397878
34,,ELAVON EUROPEAN HOLDINGS B.V.,3050378,33,AMSTERDAM NETHERLAN DS,International Nonbank Sub of Domestic Entities,5,"Amsterdam, Netherlands",52.3702157,4.8951679
35,,ELAVON FINANCIAL SERVICES DAC,3549331,34,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,6,"Dublin, Ireland",53.3498053,-6.2603097
36,,U.S. BANK TRUSTEES LIMITED,3696534,35,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,7,"London, UK",51.5073509,-0.1277583
37,,USB NOMINEES (UK) LIMITED,4486611,35,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,7,"London, UK",51.5073509,-0.1277583
38,,"SANTANDER ELAVON MERCHANT SERVICES, ENTIDAD DE PAGO, SOCIEDAD LIMITADA",4522948,35,MADRID SPAIN,International Nonbank Sub of Domestic Entities,7,"Madrid, Spain",40.4167754,-3.7037902
39,,QUINTILLION LIMITED,3765654,34,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,6,"Dublin, Ireland",53.3498053,-6.2603097
40,,QUINTILLION SERVICES LIMITED,4741002,39,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,7,"Dublin, Ireland",53.3498053,-6.2603097
41,,"U.S. BANCORP FUND SERVICES, LIMITED",4463199,34,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,6,"London, UK",51.5073509,-0.1277583
42,,"U.S. BANCORP FUND SERVICES, LTD.",4463201,34,GEORGE TOWN GRAND CAYMAN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,6,"George Town, Cayman Islands",19.2869323,-81.3674389
43,,"U.S. BANCORP FUND SERVICES (GUERNSEY), LIMITED",4845919,34,ST. PETER PORT GUERNSEY,International Nonbank Sub of Domestic Entities,6,"Saint Peter Port, Guernsey",49.4541677,-2.5497069
44,,"USB GLOBAL INVESTMENTS, LLC",3287268,32,MINNEAPOLIS MN,Domestic Entity Other,4,"Minneapolis, MN, USA",44.977753,-93.2650108
45,,USB LEASING LLC,3134410,2,MINNEAPOLIS MN,Domestic Entity Other,3,"Minneapolis, MN, USA",44.977753,-93.2650108
46,,USB LEASING LT,3134429,45,CHICAGO IL,Domestic Entity Other,4,"Chicago, IL, USA",41.8781136,-87.6297982
47,,U.S. BANCORP SERVICE PROVIDERS LLC,3167203,2,OWENSBORO KY,Domestic Entity Other,3,"Owensboro, KY, USA",37.7719074,-87.1111676
48,,USB AMERICAS HOLDINGS COMPANY,3277148,2,MINNEAPOLIS MN,Agreement Corporation - Investment,3,"Minneapolis, MN, USA",44.977753,-93.2650108
49,,ELAVON CANADA COMPANY,3297650,48,OAKVILLE CANADA,International Nonbank Sub of Domestic Entities,4,"Oakville, ON, Canada",43.467517,-79.6876659
50,,INTERNETSECURE CORP.,4906436,49,ATLANTA GA,Domestic Entity Other,5,"Atlanta, GA, USA",33.7489954,-84.3879824
51,,"ELAVON PUERTO RICO, INC.",3600157,48,SAN JUAN PUERTO RICO,Domestic Entity Other,4,"San Juan, Puerto Rico",18.4655394,-66.1057355
52,,"ELAVON LATIN AMERICAN HOLDINGS, LLC",4094874,48,MINNEAPOLIS MN,Domestic Entity Other,4,"Minneapolis, MN, USA",44.977753,-93.2650108
53,+,"ELAVON MEXICO HOLDING COMPANY, S.A. DE C.V.",4094904,52,MEXICO CITY MEXICO,International Nonbank Sub of Domestic Entities,5,"Mexico City, CDMX, Mexico",19.4326077,-99.133208
54,+,"ELAVON SERVICES COMPANY, S. DE R.L. DE C.V.",4094931,52,MEXICO CITY MEXICO,International Nonbank Sub of Domestic Entities,5,"Mexico City, CDMX, Mexico",19.4326077,-99.133208
55,+,"ELAVON MERCHANT SERVICES MEXICO, S. DE R.L. DE C.V.",4094959,52,MEXICO CITY MEXICO,International Nonbank Sub of Domestic Entities,5,"Mexico City, CDMX, Mexico",19.4326077,-99.133208
56,+,"ELAVON OPERATIONS COMPANY, S. DE R.L. DE C.V.",4094968,52,MEXICO CITY MEXICO,International Nonbank Sub of Domestic Entities,5,"Mexico City, CDMX, Mexico",19.4326077,-99.133208
57,,"ELAVON MEXICO HOLDING COMPANY, S.A. DE C.V.",4094904,48,MEXICO CITY MEXICO,International Nonbank Sub of Domestic Entities,4,"Mexico City, CDMX, Mexico",19.4326077,-99.133208
58,,"ELAVON SERVICES COMPANY, S. DE R.L. DE C.V.",4094931,57,MEXICO CITY MEXICO,International Nonbank Sub of Domestic Entities,5,"Mexico City, CDMX, Mexico",19.4326077,-99.133208
59,,"ELAVON MERCHANT SERVICES MEXICO, S. DE R.L. DE C.V.",4094959,57,MEXICO CITY MEXICO,International Nonbank Sub of Domestic Entities,5,"Mexico City, CDMX, Mexico",19.4326077,-99.133208
60,,"ELAVON OPERATIONS COMPANY, S. DE R.L. DE C.V.",4094968,57,MEXICO CITY MEXICO,International Nonbank Sub of Domestic Entities,5,"Mexico City, CDMX, Mexico",19.4326077,-99.133208
61,,HTD LEASING LLC,3356388,2,CHICAGO IL,Domestic Entity Other,3,"Chicago, IL, USA",41.8781136,-87.6297982
62,,"MMCA LEASE SERVICES, INC.",3395408,2,CHICAGO IL,Domestic Entity Other,3,"Chicago, IL, USA",41.8781136,-87.6297982
63,,ECLIPSE FUNDING LLC,3395426,2,MINNEAPOLIS MN,Domestic Entity Other,3,"Minneapolis, MN, USA",44.977753,-93.2650108
64,,USB REALTY CORP.,3549322,2,MINNEAPOLIS MN,Domestic Entity Other,3,"Minneapolis, MN, USA",44.977753,-93.2650108
65,,DAIMLER TITLE CO.,3663983,2,CHICAGO IL,Domestic Entity Other,3,"Chicago, IL, USA",41.8781136,-87.6297982
