Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,AMERICAN EXPRESS COMPANY,1275216,,NEW YORK NY,Financial Holding Company - Domestic,1,"New York, NY, USA",40.7127837,-74.0059413
2,,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",3793536,1,NEW YORK NY,Financial Holding Company - Domestic,2,"New York, NY, USA",40.7127837,-74.0059413
3,,AMERICAN EXPRESS CENTURION BANK,1394676,2,SALT LAKE CITY UT,Non-member Bank,3,"Salt Lake City, UT, USA",40.7607793,-111.8910474
4,,AMERICAN EXPRESS - UTAH EQUITY FUND LIMITED PARTNERSHIP,3945054,3,COLUMBIA MD,Domestic Entity Other,4,"Columbia, MD, USA",39.2037144,-76.8610462
5,,"CANYON VIEW PARTNERS, LLC",3961102,4,PROVO UT,Domestic Entity Other,5,"Provo, UT, USA",40.2338438,-111.6585337
6,,"CITY FRONT PARTNERS, LLC",3961111,4,SALT LAKE CITY UT,Domestic Entity Other,5,"Salt Lake City, UT, USA",40.7607793,-111.8910474
7,,"JEFFERSON SCHOOL APARTMENTS, LLC",3961148,4,SALT LAKE CITY UT,Domestic Entity Other,5,"Salt Lake City, UT, USA",40.7607793,-111.8910474
8,,"JORDAN RIVER HOUSING PARTNERS, L.P.",3961380,4,PRAIRIE VILLAGE KS,Domestic Entity Other,5,"Prairie Village, KS, USA",38.9916726,-94.6335684
9,,"LAZY DAYS PROPERTIES, L.L.C.",3961399,4,SALT LAKE CITY UT,Domestic Entity Other,5,"Salt Lake City, UT, USA",40.7607793,-111.8910474
10,,"SHS UTAH PARTNERS I, L.P.",3961429,4,GARDENA CA,Domestic Entity Other,5,"Gardena, CA, USA",33.8883487,-118.3089624
11,,"NUESTRA SENORA, L.P.",3961670,4,GUADALUPE AZ,Domestic Entity Other,5,"Guadalupe, AZ, USA",33.3708798,-111.9629216
12,,"EPHRAIM HOUSING PARTNERS, L.P.",3961719,4,EPHRAIM UT,Domestic Entity Other,5,"Ephraim, UT 84627, USA",39.3596841,-111.5863052
13,,RED HAWK HOUSING LLC,3961773,4,ST. GEORGE UT,Domestic Entity Other,5,"St George, UT, USA",37.0965278,-113.5684164
14,,"SPRINGS AT LOGAN RIVER II, LLC, THE",3961924,4,FARMINGTON UT,Domestic Entity Other,5,"Farmington, UT, USA",40.9804999,-111.8874392
