Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,BANK OF AMERICA CORPORATION,1073757,,CHARLOTTE NC,Financial Holding Company - Domestic,1,"Charlotte, NC, USA",35.2270869,-80.8431267
2,,BANKAMERICA REALTY SERVICES INC.,1026034,1,SAN FRANCISCO CA,Domestic Entity Other,2,"San Francisco, CA, USA",37.7749295,-122.4194155
3,,BRACEBRIDGE CORPORATION,1996913,1,WILMINGTON DE,Domestic Entity Other,2,"Wilmington, DE, USA",39.7390721,-75.5397878
4,,"TRYON ASSURANCE COMPANY, LTD.",2133519,1,CHARLESTON SC,Domestic Entity Other,2,"Charleston, SC, USA",32.7764749,-79.9310512
5,,NB HOLDINGS CORPORATION,2173092,1,CHARLOTTE NC,Financial Holding Company - Domestic,2,"Charlotte, NC, USA",35.2270869,-80.8431267
6,,"BAL INVESTMENT & ADVISORY, INC.",1024580,5,SAN FRANCISCO CA,Domestic Entity Other,3,"San Francisco, CA, USA",37.7749295,-122.4194155
7,,SECURITY PACIFIC CAPITAL LEASING CORPORATION,1821480,6,SAN FRANCISCO CA,Domestic Entity Other,4,"San Francisco, CA, USA",37.7749295,-122.4194155
8,,DFO PARTNERSHIP,2486840,6,SAN FRANCISCO CA,Domestic Entity Other,4,"San Francisco, CA, USA",37.7749295,-122.4194155
9,+,"BANC OF AMERICA LEASING IRELAND CO., LIMITED",3551174,6,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,4,"Dublin, Ireland",53.3498053,-6.2603097
10,,"SECURITY PACIFIC HOUSING SERVICES, INC.",1025046,5,JACKSONVILL E FL,Finance Company,3,"Jacksonville, FL, USA",30.3321838,-81.655651
11,,"BA INSURANCE GROUP, INC.",1025130,5,CHARLOTTE NC,Domestic Entity Other,3,"Charlotte, NC, USA",35.2270869,-80.8431267
12,,GENERAL FIDELITY LIFE INSURANCE COMPANY,1024759,11,COLUMBIA SC,Domestic Entity Other,4,"Columbia, SC, USA",34.0007104,-81.0348144
13,,"BALBOA INSURANCE SERVICES, INC.",3033232,11,SIMI VALLEY CA,Domestic Entity Other,4,"Simi Valley, CA, USA",34.2694474,-118.781482
14,,BALBOA INSURANCE COMPANY,3033634,11,IRVINE CA,Domestic Entity Other,4,"Irvine, CA, USA",33.6839473,-117.7946942
15,,MERITPLAN INSURANCE COMPANY,3034686,14,IRVINE CA,Domestic Entity Other,5,"Irvine, CA, USA",33.6839473,-117.7946942
16,,NEWPORT INSURANCE COMPANY,3034707,14,IRVINE CA,Domestic Entity Other,5,"Irvine, CA, USA",33.6839473,-117.7946942
17,,BANK OF AMERICA CAPITAL CORPORATION,1090222,5,CHARLOTTE NC,Domestic Entity Other,3,"Charlotte, NC, USA",35.2270869,-80.8431267
18,,ATLANTIC EQUITY CORPORATION,2196345,17,CHARLOTTE NC,Domestic Entity Other,4,"Charlotte, NC, USA",35.2270869,-80.8431267
19,,BAC NORTH AMERICA HOLDING COMPANY,1379552,5,CHARLOTTE NC,Financial Holding Company - Domestic,3,"Charlotte, NC, USA",35.2270869,-80.8431267
20,,BANA HOLDING CORPORATION,1199769,19,CHARLOTTE NC,Financial Holding Company - Domestic,4,"Charlotte, NC, USA",35.2270869,-80.8431267
21,,"BANK OF AMERICA, NATIONAL ASSOCIATION",480228,20,CHARLOTTE NC,National Bank,5,"Charlotte, NC, USA",35.2270869,-80.8431267
22,,"BEACH GREEN NORTH, LLC",4876155,21,JAMAICA NY,Domestic Entity Other,6,"Jamaica, Queens, NY, USA",40.702677,-73.7889689
23,,"RECLAIMING THE VISION II, L.P.",4876164,21,WOONSOCKE T RI,Domestic Entity Other,6,"Woonsocket, RI 02895, USA",42.0028761,-71.5147839
24,,"VERANDAS OF PUNTA GORDA, THE LLLP",4876173,21,BUFFALO NY,Domestic Entity Other,6,"Buffalo, NY, USA",42.8864468,-78.8783689
25,,"BISHOP GARDENS APARTMENTS, LP",4876182,21,INDIANAPOLIS IN,Domestic Entity Other,6,"Indianapolis, IN, USA",39.768403,-86.158068
26,,"LANDSTAR PARK GROUP PARTNERS, LTD.",4889810,21,WINTER PARK FL,Domestic Entity Other,6,"Winter Park, FL, USA",28.5999998,-81.3392352
27,,"PRESTWICK-LH I, L.P.",4889847,21,ATLANTA GA,Domestic Entity Other,6,"Atlanta, GA, USA",33.7489954,-84.3879824
28,,"PALO ALTO APARTMENTS, LTD.",4889977,21,SAN ANTONIO TX,Domestic Entity Other,6,"San Antonio, TX, USA",29.4241219,-98.4936282
29,,"PALM TRITON, LLC",4889986,21,LEVITTOWN NY,Domestic Entity Other,6,"Levittown, NY, USA",40.7259336,-73.5142921
30,,"CV SSL MASTER TENANT, LLC",4889995,21,SAN DIEGO CA,Domestic Entity Other,6,"San Diego, CA, USA",32.715738,-117.1610838
31,,"LANDINGS AT BELLE MEADOWS, L.P., THE",4890003,21,INDIANAPOLIS IN,Domestic Entity Other,6,"Indianapolis, IN, USA",39.768403,-86.158068
32,,"NTCP 2015-B, LLC",4890807,21,COLUMBUS OH,Domestic Entity Other,6,"Columbus, OH, USA",39.9611755,-82.9987942
33,,"HERITAGE PARK GROUP PARTNERS, LTD.",4901897,21,WINTER PARK FL,Domestic Entity Other,6,"Winter Park, FL, USA",28.5999998,-81.3392352
34,,165 WINTER STREET APARTMENTS LLC,4901909,21,BOSTON MA,Domestic Entity Other,6,"Boston, MA, USA",42.3600825,-71.0588801
35,,DIAMOND STREET HOUSING PARTNERSHIP II LP,4901918,21,KINGSTON PA,Domestic Entity Other,6,"Kingston, PA 18704, USA",41.2617481,-75.8968635
