Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,"FLEET FINANCIAL GROUP, INC.",1113514,,BOSTON MA,Bank Holding Company,1,"Boston, MA",42.3600825,-71.0588801
2,,"FLEET TRUST AND INVESTMENT SERVICES COMPANY, NATIONAL ASSOCIATION",26439,1,STUART FL,Non-deposit Trust Company - Member,2,"Stuart, FL",27.197548,-80.2528257
3,,PIONEER CREDIT CORPORATION,1110951,1,HARTFORD CT,Finance Company,2,"Hartford, CT",41.7637111,-72.6850932
4,,HNC REALTY COMPANY,1111891,1,HARTFORD CT,Domestic Entity Other,2,"Hartford, CT",41.7637111,-72.6850932
5,,"FLEET EMPLOYER SERVICES, INC.",1113532,1,PROVIDENCE RI,Data Processing Servicer,2,"Providence, RI",41.8239891,-71.4128343
6,,"WESTMINSTER PROPERTIES, INC.",1113541,1,PROVIDENCE RI,Domestic Entity Other,2,"Providence, RI",41.8239891,-71.4128343
7,,"FLEET REAL ESTATE, INC.",1113550,1,PROVIDENCE RI,Domestic Entity Other,2,"Providence, RI",41.8239891,-71.4128343
8,,"REED STREET PARTNERS, L.P.",2221649,7,ATLANTA GA,Domestic Entity Other,3,"Atlanta, GA",33.7489954,-84.3879824
9,,"HOME EQUITY USA, INC.",1113587,1,ATLANTA GA,Finance Company,2,"Atlanta, GA",33.7489954,-84.3879824
10,,CONSUMER LIFE INSURANCE COMPANY,1113626,9,ATLANTA GA,Domestic Entity Other,3,"Atlanta, GA",33.7489954,-84.3879824
11,,"FLEET INSURANCE AGENCY, INC.",1271713,9,ATLANTA GA,Domestic Entity Other,3,"Atlanta, GA",33.7489954,-84.3879824
12,,"HOME EQUITY USA LOAN CO. OF MINNESOTA, INC.",1470628,9,BLOOMINGTO N MN,Finance Company,3,"Bloomington, MN",44.840798,-93.2982799
13,,"FLEET HOME EQUITY USA, INC. (FL)",1473740,9,ATLANTA GA,Finance Company,3,"Atlanta, GA",33.7489954,-84.3879824
14,,"FLEET FINANCE, INC. (FL)",1473759,9,ATLANTA GA,Finance Company,3,"Atlanta, GA",33.7489954,-84.3879824
15,,"FLEET FINANCE & MORTGAGE, INC. (FL)",1473834,14,ATLANTA GA,Finance Company,4,"Atlanta, GA",33.7489954,-84.3879824
16,,"FLEET HOME EQUITY USA, INC. (DE)",2394477,9,ATLANTA GA,Finance Company,3,"Atlanta, GA",33.7489954,-84.3879824
17,,INDUSTRIAL INVESTMENT CORPORATION,1113653,1,PROVIDENCE RI,Domestic Entity Other,2,"Providence, RI",41.8239891,-71.4128343
18,,INDUSTRIAL INVESTMENT CORPORATION-NH,1995952,17,NASHUA NH,Domestic Entity Other,3,"Nashua, NH",42.7653662,-71.467566
19,,IIC-NY CORPORATION,2148166,17,MELVILLE NY,Domestic Entity Other,3,"Melville, NY",40.7934322,-73.4151214
20,,FLEETBOSTON FINANCIAL CORPORATION -DELAWARE,1113756,1,WILMINGTON DE,Domestic Entity Other,2,"Wilmington, DE",39.7390721,-75.5397878
21,,"FLEET MORTGAGE BROKERS, INC.",1113792,1,PROVIDENCE RI,Finance Company,2,"Providence, RI",41.8239891,-71.4128343
22,,FLEET PROPERTY COMPANY,1113804,1,PROVIDENCE RI,Domestic Entity Other,2,"Providence, RI",41.8239891,-71.4128343
23,,FLEET CENTER ASSOCIATES,1470598,22,PROVIDENCE RI,Domestic Entity Other,3,"Providence, RI",41.8239891,-71.4128343
24,,FLEET GARAGE ASSOCIATES,1470673,22,PROVIDENCE RI,Domestic Entity Other,3,"Providence, RI",41.8239891,-71.4128343
25,,FLEET HISTORIC ASSOCIATES,1470712,22,PROVIDENCE RI,Domestic Entity Other,3,"Providence, RI",41.8239891,-71.4128343
26,,"FLEET BANK, NATIONAL ASSOCIATION",241876,1,JERSEY CITY NJ,National Bank,2,"Jersey City, NJ",40.7281575,-74.0776417
27,,CF LEASING CORP.,1380017,26,GLEN ROCK NJ,Domestic Entity Other,3,"Glen Rock, NJ",40.9628758,-74.1329207
28,,FLEET NEW JERSEY CORP.,1381180,26,ROSELAND NJ,Domestic Entity Other,3,"Roseland, NJ",40.8206555,-74.2937594
29,,CITIZENS FIRST INVESTMENT CORP.,1382244,26,GLEN ROCK NJ,Securities Broker/Dealer,3,"Glen Rock, NJ",40.9628758,-74.1329207
