Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,CITIGROUP INC.,1951350,,NEW YORK NY,Financial Holding Company - Domestic,1,"New York, NY",40.7127837,-74.0059413
2,,CITICORP BANKING CORPORATION,1045848,1,NEW CASTLE DE,Domestic Entity Other,2,"New Castle, DE",39.6620397,-75.5668166
3,,COURT SQUARE CAPITAL LIMITED,1042614,2,NEW YORK NY,Domestic Entity Other,3,"New York, NY",40.7127837,-74.0059413
4,,"CITIGROUP VENTURE CAPITAL LP HOLDINGS, LTD.",3082230,3,LONG ISLAND CITY NY,Domestic Entity Other,4,"Long Island City, NY",40.744679,-73.9485424
5,,CITICORP VENTURE CAPITAL (CAYMAN) LTD.,3111877,3,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,4,"George Town, Cayman Islands",19.2869323,-81.3674389
6,,CS VENTURE CAPITAL INVESTORS LIMITED,3111895,5,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,5,"George Town, Cayman Islands",19.2869323,-81.3674389
7,,"TRG GROWTH PARTNERSHIP II, L.P.",3825268,3,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,4,"George Town, Cayman Islands",19.2869323,-81.3674389
8,,"CITIGROUP VENTURE CAPITAL INTERNATIONAL GROWTH PARTNERSHIP (EMPLOYEE) II, L.P.",3825277,3,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,4,"George Town, Cayman Islands",19.2869323,-81.3674389
9,+,BACH II SOUTH ENTERTAINMENT LIMITED,3959006,8,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,5,"George Town, Cayman Islands",19.2869323,-81.3674389
10,,CVCIGP II EMPLOYEE CAYMAN LIMITED,4174271,8,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,5,"George Town, Cayman Islands",19.2869323,-81.3674389
11,,CVCIGP II EMPLOYEE ROSEHILL LIMITED,4174365,10,CYBERCITY MAURITIUS,International Nonbank Sub of Domestic Entities,6,"Ebène, Mauritius",-20.2418916,57.4895998
12,,"BACH II TECH II, L.P.",4232256,8,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,5,"George Town, Cayman Islands",19.2869323,-81.3674389
13,+,"INVERSIONES EN ENERGIA LATINO AMERICA, L.P.",4322120,8,GEORGE TOWN CAYMAN ISLANDS,Foreign Entity Other,5,"George Town, Cayman Islands",19.2869323,-81.3674389
14,,BACH II LUMA HOLDINGS LIMITED,4363682,8,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,5,"George Town, Cayman Islands",19.2869323,-81.3674389
15,,"BACH II JHC, L.P.",4393997,8,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,5,"George Town, Cayman Islands",19.2869323,-81.3674389
16,,BACH II JHC S.A R.L.,4394024,15,LUXEMBOURG LUXEMBOUR G,International Nonbank Sub of Domestic Entities,6,"Luxembourg City, Luxembourg",49.611621,6.1319346
17,,NESS TECHNOLOGIES S.A R.L.,4394033,16,LUXEMBOURG LUXEMBOUR G,International Nonbank Sub of Domestic Entities,7,"Luxembourg City, Luxembourg",49.611621,6.1319346
18,,JERSEY HOLDING CORPORATION,4394006,17,TEANECK NJ,Domestic Entity Other,8,"Teaneck, NJ",40.8932469,-74.0116536
19,+,BACH II SOUTH ENTERTAINMENT LIMITED,3959006,3,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,4,"George Town, Cayman Islands",19.2869323,-81.3674389
20,,"TRGGP II CO-INVEST, L.P.",4174244,3,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,4,"George Town, Cayman Islands",19.2869323,-81.3674389
21,,"CVCIGP II CAYMAN EMPLOYEE, L.P.",4174262,3,NEW YORK NY,Domestic Entity Other,4,"New York, NY",40.7127837,-74.0059413
22,+,CVCIGP II EMPLOYEE CAYMAN LIMITED,4174271,21,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,5,"George Town, Cayman Islands",19.2869323,-81.3674389
23,,"INTERNATIONAL EQUITY INVESTMENTS SUCCESSOR, LLC",4284022,3,NEW YORK NY,Domestic Entity Other,4,"New York, NY",40.7127837,-74.0059413
24,,CITICORP TECHNOLOGY HOLDINGS INC.,3023635,3,NEW YORK NY,Data Processing Servicer,4,"New York, NY",40.7127837,-74.0059413
25,,ORBITECH PRIVATE LIMITED,1186460,24,MUMBAI INDIA,International Nonbank Sub of Domestic Entities,5,"Mumbai, India",19.0759837,72.8776559
26,,"CITIGROUP VENTURE CAPITAL GP HOLDINGS, LTD.",3082182,3,LONG ISLAND CITY NY,Domestic Entity Other,4,"Long Island City, NY",40.744679,-73.9485424
27,,"CITICORP FUNDING, INC.",1042735,2,NEW YORK NY,Domestic Entity Other,3,"New York, NY",40.7127837,-74.0059413
28,,CITICORP MUNICIPAL MORTGAGE HOLDINGS INC.,3587584,27,NEW YORK NY,Domestic Entity Other,4,"New York, NY",40.7127837,-74.0059413
