Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,WELLS FARGO & COMPANY,1120754,,SAN FRANCISCO CA,Financial Holding Company - Domestic,1,"San Francisco, CA",37.7749295,-122.4194155
2,,"FNL INSURANCE COMPANY, LTD",1049060,1,HONOLULU HI,Domestic Entity Other,2,"Honolulu, HI",21.3069444,-157.8583333
3,,WELLS FARGO REGIONAL COMMUNITY DEVELOPMENT CORPORATION,2110565,1,PHILADELPHIA PA,Domestic Entity Other,2,"Philadelphia, PA",39.9525839,-75.1652215
4,,WELLS FARGO FOUNDATION,2135447,1,MINNEAPOLIS MN,Domestic Entity Other,2,"Minneapolis, MN",44.977753,-93.2650108
5,,"WELLS FARGO PRINCIPAL INVESTMENTS, LLC",2222066,1,SANTA MONICA CA,Finance Company,2,"Santa Monica, CA",34.0194543,-118.4911912
6,,"TRSTE, INC.",2224659,1,ROANOKE VA,Domestic Entity Other,2,"Roanoke, VA",37.2709704,-79.9414266
7,,"WELLS FARGO FINANCIAL SERVICES, LLC",2250313,1,DES MOINES IA,Domestic Entity Other,2,"Des Moines, IA",41.6005448,-93.6091064
8,,"WELLS FARGO FINANCIAL, LLC",1141991,7,DES MOINES IA,Domestic Entity Other,3,"Des Moines, IA",41.6005448,-93.6091064
9,,CENTURION LIFE INSURANCE COMPANY,1149849,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
10,,"WELLS FARGO FINANCIAL IOWA 1, INC.",1149876,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
11,,"WELLS FARGO FINANCIAL ARIZONA, INC.",1426027,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
12,,CENTURION CASUALTY COMPANY,1841376,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
13,,"WELLS FARGO FINANCIAL TEXAS, INC.",1843606,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
14,,"WELLS FARGO FINANCIAL UTAH, INC.",1843624,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
15,,"WELLS FARGO FINANCIAL WYOMING, INC.",1844265,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
16,,"WELLS FARGO FINANCIAL NEW JERSEY, INC.",1844283,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
17,,"WELLS FARGO FINANCIAL NEBRASKA, INC.",1844331,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
18,,"WELLS FARGO FINANCIAL WEST VIRGINIA, INC.",1844340,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
19,,"WELLS FARGO FINANCIAL WISCONSIN, INC.",1844359,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
20,,"WELLS FARGO FINANCIAL NEW YORK, INC.",1844368,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
21,,"WELLS FARGO FINANCIAL TENNESSEE, INC.",1844818,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
22,,"WELLS FARGO FINANCIAL OKLAHOMA, INC.",1844827,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
23,,"WELLS FARGO FINANCIAL MONTANA, INC.",1844836,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
24,,"WELLS FARGO FINANCIAL NORTH DAKOTA, INC.",1844845,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
25,,"WELLS FARGO FINANCIAL MINNESOTA, INC.",1844920,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
26,,CGT INSURANCE COMPANY LTD.,2059981,25,SAINT MICHAEL BARBADOS,International Nonbank Sub of Domestic Entities,5,"Saint Michael, Barbados",13.1132219,-59.5988089
27,,"WELLS FARGO FINANCIAL MARYLAND, INC.",1844939,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
28,,"WELLS FARGO FINANCIAL LOUISIANA, INC.",1844948,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
29,,"WELLS FARGO FINANCIAL KENTUCKY, INC.",1844957,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
30,,"WELLS FARGO FINANCIAL KANSAS, INC.",1844966,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
31,,"WELLS FARGO FINANCIAL INDIANA, INC.",1844975,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
32,,"WELLS FARGO FINANCIAL MISSOURI, INC.",1844984,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
33,,"WELLS FARGO FINANCIAL COLORADO, INC.",1844993,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
34,,"WELLS FARGO FINANCIAL ALASKA, INC.",1845002,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
35,,"WELLS FARGO FINANCIAL SOUTH DAKOTA, INC.",1845011,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
36,,"WELLS FARGO FINANCIAL ILLINOIS, INC.",1845020,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
37,,"WELLS FARGO FINANCIAL GEORGIA, INC.",1845039,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
38,,"WELLS FARGO FINANCIAL FLORIDA, INC.",1845048,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
39,,"WELLS FARGO FINANCIAL SYSTEM FLORIDA, INC.",2134936,38,DES MOINES IA,Domestic Entity Other,5,"Des Moines, IA",41.6005448,-93.6091064
40,,"WELLS FARGO FINANCIAL DELAWARE, INC.",1845057,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
41,,"WELLS FARGO FINANCIAL SOUTH CAROLINA, INC.",1847163,8,DES MOINES IA,Domestic Entity Other,4,"Des Moines, IA",41.6005448,-93.6091064
