Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,"BANK OF NEW YORK MELLON CORPORATION, THE",3587146,,NEW YORK NY,Financial Holding Company - Domestic,1,"New York, NY",40.7127837,-74.0059413
2,,"BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE",398668,1,LOS ANGELES CA,National Bank,2,"Los Angeles, CA",34.0522342,-118.2436849
3,,"WESTWOOD CDO II, LTD",4008424,2,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,3,"George Town, Cayman Islands",19.2869323,-81.3674389
4,,"WESTWOOD CDO I, LTD",4074670,2,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,3,"George Town, Cayman Islands",19.2869323,-81.3674389
5,,"PACIFICA CDO VI, LTD.",4075501,2,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,3,"George Town, Cayman Islands",19.2869323,-81.3674389
6,,PROSPERO CLO I B.V.,4076094,2,AMSTERDAM NETHERLAN DS,International Nonbank Sub of Domestic Entities,3,"Amsterdam, Netherlands",52.3702157,4.8951679
7,,"PACIFICA CDO II, LTD.",4500889,2,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,3,"George Town, Cayman Islands",19.2869323,-81.3674389
8,,"DREYFUS SERVICE ORGANIZATION, INC.",2243230,1,NEW YORK NY,Domestic Entity Other,2,"New York, NY",40.7127837,-74.0059413
9,,BNY AURORA HOLDING CORP.,2338800,1,NEW YORK NY,Domestic Entity Other,2,"New York, NY",40.7127837,-74.0059413
10,,"BNY CAPITAL MARKETS HOLDINGS, INC.",2535261,1,NEW YORK NY,Domestic Entity Other,2,"New York, NY",40.7127837,-74.0059413
11,,BNY CAPITAL CORPORATION,1033407,10,NEW YORK NY,Finance Company,3,"New York, NY",40.7127837,-74.0059413
12,,"BNY TRADE INSURANCE, LTD.",2084554,11,HAMILTON BERMUDA,International Nonbank Sub of Domestic Entities,4,"Hamilton, Bermuda",32.2945837,-64.7858887
13,,HAMILTON INSURANCE CORP.,4045876,11,MELVILLE NY,Domestic Entity Other,4,"Melville, NY",40.7934322,-73.4151214
14,,"BNY MELLON CAPITAL MARKETS, LLC",1380240,10,NEW YORK NY,Securities Broker/Dealer,3,"New York, NY",40.7127837,-74.0059413
15,,BNY MARKETS LIMITED,2562771,10,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,3,"London, UK",51.5073509,-0.1277583
16,+,BNY MELLON CSD,4588195,15,BRUSSELS BELGIUM,International Nonbank Sub of Domestic Entities,4,"Brussels, Belgium",50.8503463,4.3517211
17,,BNY MEZZANINE NY FUNDING LLC,3685172,10,NEW YORK NY,Domestic Entity Other,3,"New York, NY",40.7127837,-74.0059413
18,,BNY FALCON THREE HOLDING CORP.,2535289,1,NEW YORK NY,Domestic Entity Other,2,"New York, NY",40.7127837,-74.0059413
19,,MELLON AUSTRALIA PTY LIMITED,2614157,1,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,2,"Sydney NSW, Australia",-33.8688197,151.2092955
20,,"MIPA, LLC",2710527,1,WILMINGTON DE,Domestic Entity Other,2,"Wilmington, DE",39.7390721,-75.5397878
21,,BNY MELLON DISTRIBUTORS HOLDINGS INC.,2782494,1,WILMINGTON DE,Domestic Entity Other,2,"Wilmington, DE",39.7390721,-75.5397878
22,,MCDI (HOLDINGS) LLC,2871932,1,NEW YORK NY,Domestic Entity Other,2,"New York, NY",40.7127837,-74.0059413
23,,"PROMONTORY INTERFINANCIAL NETWORK, LLC",3183315,22,ARLINGTON VA,Data Processing Servicer,3,"Arlington County, VA",38.8816208,-77.0909809
24,,SHELFCO LTD.,2950631,1,"NASSAU BAHAMAS, THE",International Nonbank Sub of Domestic Entities,2,"Nassau, The Bahamas",25.0479835,-77.355413
25,,TRINITY RESIDUAL LIMITED,3045758,1,HAMILTON BERMUDA,International Nonbank Sub of Domestic Entities,2,"Hamilton, Bermuda",32.2945837,-64.7858887
26,,BNY MELLON CLEARING INTERNATIONAL LIMITED,4397315,25,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,3,"Dublin, Ireland",53.3498053,-6.2603097
27,,"BANK OF NEW YORK MELLON, THE",541101,1,NEW YORK NY,State Member Bank,2,"New York, NY",40.7127837,-74.0059413
28,,BNY INTERNATIONAL FINANCING CORPORATION,720317,27,NEW YORK NY,Edge Corporation - Investment,3,"New York, NY",40.7127837,-74.0059413
29,,BNY ARGENTINA S.A.,1174083,28,BUENOS AIRES ARGENTINA,International Bank of U.S. Depository - Edge or Trust Co.,4,"Buenos Aires, Argentina",-34.6036844,-58.3815591
30,,BNY MELLON TRUST COMPANY (CAYMAN) LIMITED,1178867,28,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,4,"George Town, Cayman Islands",19.2869323,-81.3674389
31,,BNY MELLON FUND MANAGEMENT (CAYMAN) LIMITED,2453682,30,GEORGE TOWN CAYMAN ISLANDS,International Nonbank Sub of Domestic Entities,5,"George Town, Cayman Islands",19.2869323,-81.3674389
32,,"BNY FOREIGN HOLDINGS, INC.",2326142,28,NEW YORK NY,Domestic Entity Other,4,"New York, NY",40.7127837,-74.0059413
33,,BNY ARGENTINA S.A.,1174083,32,BUENOS AIRES ARGENTINA,International Bank of U.S. Depository - Edge or Trust Co.,5,"Buenos Aires, Argentina",-34.6036844,-58.3815591
34,,BNY MELLON INTERNATIONAL OPERATIONS (INDIA) PRIVATE LIMITED,3304866,32,PUNE INDIA,Data Processing Servicer,5,"Pune, India",18.5204303,73.8567437
35,,BNY MELLON HOLDINGS (UK) LIMITED,2868763,28,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,4,"London, UK",51.5073509,-0.1277583
36,,"BANK OF NEW YORK MELLON (INTERNATIONAL) LIMITED, THE",2868914,28,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,4,"London, UK",51.5073509,-0.1277583
37,,BNY TRUST COMPANY LIMITED,2868932,36,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,5,"London, UK",51.5073509,-0.1277583
38,,"BANK OF NEW YORK CAPITAL MARKETS LIMITED, THE",1177066,37,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,6,"London, UK",51.5073509,-0.1277583
39,,BNY MELLON TRUST & DEPOSITARY (UK) LIMITED,2731429,37,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,6,"London, UK",51.5073509,-0.1277583
40,,BNY MELLON SECRETARIES (UK) LIMITED,3026766,36,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,5,"London, UK",51.5073509,-0.1277583
41,,BNY MELLON SECURITIES SERVICES (IRELAND) LIMITED,2868996,28,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,4,"Dublin, Ireland",53.3498053,-6.2603097
42,,BNY MELLON FUND SERVICES (IRELAND) DESIGNATED ACTIVITY COMPANY,2258944,41,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,5,"Dublin, Ireland",53.3498053,-6.2603097
43,,BNY MELLON TRUST COMPANY (IRELAND) LIMITED,2869201,41,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,5,"Dublin, Ireland",53.3498053,-6.2603097
44,,BNY MELLON CAPITAL MARKETS EMEA LIMITED,2943277,28,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,4,"London, UK",51.5073509,-0.1277583
45,,QSR MANAGEMENT LIMITED,3151257,44,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,5,"London, UK",51.5073509,-0.1277583
46,,SHELFCO HOLDINGS LTD.,2950734,28,"NASSAU BAHAMAS, THE",International Nonbank Sub of Domestic Entities,4,"Nassau, The Bahamas",25.0479835,-77.355413
47,,BNY TRUST COMPANY OF CANADA,3044461,28,TORONTO CANADA,International Nonbank Sub of Domestic Entities,4,"Toronto, Canada",43.653226,-79.3831843
48,,"BNY BAT, LLC",3100835,28,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,4,"London, UK",51.5073509,-0.1277583
49,,"IVANHOE FUNDING, LLC",3112061,48,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,5,"London, UK",51.5073509,-0.1277583
50,,"BNY MELLON ALTERNATIVE INVESTMENT SERVICES, LTD.",3183351,28,HAMILTON BERMUDA,International Nonbank Sub of Domestic Entities,4,"Hamilton, Bermuda",32.2945837,-64.7858887
51,,INAUTIX TECHNOLOGIES MAURITIUS,3205776,28,EBENE MAURITIUS,International Nonbank Sub of Domestic Entities,4,"Ebène, Mauritius",-20.2418916,57.4895998
52,,INAUTIX TECHNOLOGIES INDIA PRIVATE LIMITED,3205767,51,CHENNAI INDIA,Data Processing Servicer,5,"Chennai, India",13.0826802,80.2707184
53,,BNY MELLON INTERNATIONAL OPERATIONS (INDIA) PRIVATE LIMITED,3304866,51,PUNE INDIA,Data Processing Servicer,5,"Pune, India",18.5204303,73.8567437
54,,BNY HOLDINGS (AUSTRALIA) PTY LIMITED,3356810,28,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,4,"Sydney NSW, Australia",-33.8688197,151.2092955
55,,BNY MELLON AUSTRALIA PTY LTD.,3364093,54,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,5,"Sydney NSW, Australia",-33.8688197,151.2092955
56,,PERMANENT CUSTODIANS LIMITED,3366305,55,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,6,"Sydney NSW, Australia",-33.8688197,151.2092955
57,,BNY TRUST (AUSTRALIA) REGISTRY LIMITED,3366314,55,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,6,"Sydney NSW, Australia",-33.8688197,151.2092955
58,,BNY TRUST COMPANY OF AUSTRALIA LIMITED,3543852,55,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,6,"Sydney NSW, Australia",-33.8688197,151.2092955
59,,RUSDAV LTD.,3543900,58,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,7,"Sydney NSW, Australia",-33.8688197,151.2092955
60,,BRANDWAL LTD.,3543937,58,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,7,"Sydney NSW, Australia",-33.8688197,151.2092955
61,,BTA INSTITUTIONAL SERVICES AUSTRALIA LIMITED,3679591,55,SYDNEY AUSTRALIA,International Nonbank Sub of Domestic Entities,6,"Sydney NSW, Australia",-33.8688197,151.2092955
62,,"BANK OF NEW YORK MELLON SECURITIES COMPANY JAPAN LIMITED, THE",3437559,28,TOKYO JAPAN,International Nonbank Sub of Domestic Entities,4,"Tokyo, Japan",35.6894875,139.6917064
63,,BNY MELLON CORPORATE TRUSTEE SERVICES LIMITED,3686599,28,LONDON ENGLAND,International Nonbank Sub of Domestic Entities,4,"London, UK",51.5073509,-0.1277583
64,,PROSPERO CLO II B.V.,3700105,63,AMSTERDAM NETHERLAN DS,International Nonbank Sub of Domestic Entities,5,"Amsterdam, Netherlands",52.3702157,4.8951679
65,,GLOBAL INVESTMENT SERVICING (LUXEMBOURG) SARL,3722228,63,LUXEMBOURG LUXEMBOUR G,International Nonbank Sub of Domestic Entities,5,"Luxembourg City, Luxembourg",49.611621,6.1319346
66,,BNY MELLON INVESTMENT SERVICING (INTERNATIONAL) LIMITED,2171164,65,DUBLIN IRELAND,International Nonbank Sub of Domestic Entities,6,"Dublin, Ireland",53.3498053,-6.2603097
67,,BNY MELLON (POLAND) SP. Z O.O.,3716049,65,WROCLAW POLAND,International Nonbank Sub of Domestic Entities,6,"Wrocław, Poland",51.1078852,17.0385376
68,,"BANK OF NEW YORK MELLON TRUST (JAPAN), LIMITED, THE",3938841,65,TOKYO JAPAN,International Nonbank Sub of Domestic Entities,6,"Tokyo, Japan",35.6894875,139.6917064
69,,JUBILEE CDO VIII B.V.,4009140,63,AMSTERDAM NETHERLAN DS,International Nonbank Sub of Domestic Entities,5,"Amsterdam, Netherlands",52.3702157,4.8951679
70,,JUBILEE CDO VII B.V.,4076272,63,AMSTERDAM NETHERLAN DS,International Nonbank Sub of Domestic Entities,5,"Amsterdam, Netherlands",52.3702157,4.8951679
71,,WOOD STREET CLO II B.V.,4083177,63,AMSTERDAM NETHERLAN DS,International Nonbank Sub of Domestic Entities,5,"Amsterdam, Netherlands",52.3702157,4.8951679
72,,JUBILEE CDO-I B.V.,4489797,63,AMSTERDAM NETHERLAN DS,International Nonbank Sub of Domestic Entities,5,"Amsterdam, Netherlands",52.3702157,4.8951679
