Rank,Institution Name (RSSD ID),Location,12/31/2016 Total Assets
69,HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS","$23,984,114 "
70,"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$23,193,955 "
71,VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ","$22,864,439 "
72,"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$22,333,330 "
73,PACWEST BANCORP (2875332),"BEVERLY HILLS, CA","$21,869,767 "
74,F.N.B. CORPORATION (3005332),"PITTSBURGH, PA","$21,844,817 "
75,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$21,697,213 "
76,IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA","$21,659,190 "
77,TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN","$21,454,635 "
78,"MACY'S, INC. (4103310)","CINCINNATI, OH","$21,274,376 "
79,UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO","$20,682,532 "
80,"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$20,053,773 "
81,"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$19,302,317 "
82,STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO","$19,129,356 "
83,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$19,046,202 "
84,BANK OF THE OZARKS INC (1097089),"LITTLE ROCK, AR","$18,890,142 "
85,FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA","$18,888,497 "
86,CHEMICAL FINANCIAL CORPORATION (1201934),"MIDLAND, MI","$17,355,179 "
87,WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ","$17,200,842 "
88,FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO","$17,046,125 "
89,"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$16,708,319 "
90,BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI","$16,492,367 "
91,MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL","$15,401,301 "
92,"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,873,654 "
